create table y6 (uni, nor, nod, noi);
insert into y6 values (7246, 1040, 610730, 62);
insert into y6 values (2068, 986, 537942, 70);
insert into y6 values (7143, 986, 200654, 16);
insert into y6 values (212, 1054, 770592, 9);
insert into y6 values (6611, 1054, 989620, 50);
insert into y6 values (4047, 943, 296973, 58);
insert into y6 values (4917, 941, 139134, 62);
insert into y6 values (182, 949, 51996, 70);
insert into y6 values (1251, 1228, 782908, 24);
insert into y6 values (5606, 993, 364301, 25);
insert into y6 values (3834, 1196, 416159, 93);
insert into y6 values (924, 930, 17727, 6);
insert into y6 values (1774, 1064, 410768, 39);
insert into y6 values (6286, 963, 5479, 11);
insert into y6 values (4977, 1004, 209809, 27);
insert into y6 values (2515, 808, 80324, 20);
insert into y6 values (1525, 934, 62212, 56);
insert into y6 values (2045, 978, 552296, 20);
insert into y6 values (663, 983, 503429, 44);
insert into y6 values (4417, 1146, 117654, 78);
insert into y6 values (5700, 1028, 674619, 4);
insert into y6 values (5499, 1067, 858344, 58);
insert into y6 values (1791, 950, 489290, 31);
insert into y6 values (3233, 1203, 125207, 89);
insert into y6 values (1312, 938, 198238, 31);
insert into y6 values (7832, 986, 426493, 21);
insert into y6 values (1825, 965, 515723, 21);
insert into y6 values (983, 764, 479266, 8);
insert into y6 values (2929, 967, 545807, 43);
insert into y6 values (7588, 990, 842871, 13);
insert into y6 values (1409, 1013, 338100, 4);
insert into y6 values (1749, 977, 995239, 1);
insert into y6 values (6754, 954, 186856, 55);
insert into y6 values (3927, 1036, 850780, 80);
insert into y6 values (6326, 993, 936594, 44);
insert into y6 values (3098, 1112, 22736, 59);
insert into y6 values (4307, 958, 896935, 87);
insert into y6 values (3695, 995, 735974, 62);
insert into y6 values (2955, 1043, 951764, 0);
insert into y6 values (3766, 905, 314407, 98);
insert into y6 values (234, 779, 873143, 50);
insert into y6 values (3547, 997, 759945, 65);
insert into y6 values (6824, 959, 232507, 33);
insert into y6 values (2183, 1005, 69846, 48);
insert into y6 values (7382, 988, 188030, 45);
insert into y6 values (1876, 1137, 463294, 76);
insert into y6 values (7052, 938, 755439, 10);
insert into y6 values (7568, 1312, 219169, 35);
insert into y6 values (1243, 907, 507267, 58);
insert into y6 values (6576, 991, 432079, 16);
insert into y6 values (46, 1054, 518721, 95);
insert into y6 values (4536, 968, 54260, 19);
insert into y6 values (2318, 1011, 796495, 70);
insert into y6 values (4583, 845, 441110, 82);
insert into y6 values (7836, 990, 862761, 28);
insert into y6 values (1365, 963, 59802, 93);
insert into y6 values (7344, 1023, 77096, 99);
insert into y6 values (5473, 824, 140975, 54);
insert into y6 values (92, 1127, 676822, 42);
insert into y6 values (2639, 837, 908688, 93);
insert into y6 values (3905, 991, 533655, 64);
insert into y6 values (2886, 974, 45513, 54);
insert into y6 values (4483, 1018, 792529, 87);
insert into y6 values (3777, 957, 639410, 2);
insert into y6 values (3678, 996, 198186, 81);
insert into y6 values (1780, 938, 539255, 47);
insert into y6 values (6638, 983, 856945, 85);
insert into y6 values (5567, 1027, 375893, 94);
insert into y6 values (6927, 1039, 798752, 20);
insert into y6 values (6096, 1008, 643664, 24);
insert into y6 values (197, 1139, 50636, 59);
insert into y6 values (2870, 1065, 72868, 79);
insert into y6 values (6397, 1053, 92003, 66);
insert into y6 values (4074, 943, 471575, 31);
insert into y6 values (6447, 999, 986881, 77);
insert into y6 values (436, 900, 464852, 70);
insert into y6 values (4315, 760, 445882, 28);
insert into y6 values (2846, 1050, 384491, 20);
insert into y6 values (5334, 987, 826490, 37);
insert into y6 values (611, 981, 110895, 11);
insert into y6 values (3990, 981, 457021, 36);
insert into y6 values (2670, 878, 833011, 67);
insert into y6 values (5802, 895, 540245, 6);
insert into y6 values (2248, 1138, 150270, 50);
insert into y6 values (7302, 1099, 731484, 65);
insert into y6 values (2752, 1068, 75947, 86);
insert into y6 values (5276, 1021, 784034, 98);
insert into y6 values (482, 979, 910703, 95);
insert into y6 values (2018, 1019, 905083, 57);
insert into y6 values (932, 1101, 461465, 57);
insert into y6 values (4016, 948, 150331, 84);
insert into y6 values (7208, 1081, 77013, 78);
